RI,IFR,ICC,IANC
0,1.44,381.54,22.44
0,1.43,295.11,22.66
0,1.42,250.39,22.74
0,1.79,350.61,22.43
0,1.87,405.34,22.41
0,1.42,360.45,26.38
0,1.41,359.43,27.01
0,1.4,362.53,26.94
0,1.38,357.25,26.93
0,1.37,397.16,26.31
0,1.35,416.81,26.17
0,1.34,429.65,24.67
0,1.67,538.73,24.07
0,1.79,477.11,23.02
0,1.48,494.79,22.9
0,1.46,476.67,20.92
0,1.43,375.04,20.69
0,1.36,372.07,21.03
0,1.36,372.76,21.09
0,1.36,363.84,19.61
0,1.36,379.48,19.26
0,1.35,386.68,17.72
0,1.36,394.4,17.34
0,1.36,405.92,11.91
0,1.39,414.19,21.34
0,1.48,652.46,21.39
0,1.84,617.63,21.79
0,1.47,383.92,23.44
0,1.44,346.86,23.73
0,1.44,325.98,25.78
0,1.43,283.38,26.27
0,1.42,310.3,25.97
0,1.41,335.74,25.9
0,1.4,404.88,25.55
0,1.38,442.73,25.47
0,1.37,439.1,23.57
0,1.63,521.64,22.57
0,1.83,567.53,22.06
0,1.83,557.34,21.99
0,1.68,504.54,21.13
0,1.4,427.69,20.82
0,1.39,470.86,19.86
0,1.39,285.05,19.64
0,1.32,208.04,18.24
0,1.15,258.07,16.77
0,1.5,319.68,19.62
0,1.24,242.78,14.87
0,1.54,446.42,22.37
0,1.52,440.72,23.38
0,1.51,380.05,25.17
0,1.52,371.76,25.5
0,1.52,466.55,25.99
0,1.56,488.95,26.15
0,1.52,429.57,27.6
0,1.45,408.48,28.35
0,1.43,409.55,27.46
0,1.42,427.06,27.24
0,1.41,421.62,25.97
0,1.4,449.07,25.65
0,1.4,463.31,25.03
0,1.68,504.25,24.78
0,1.85,500.83,22.59
0,1.86,423.98,22.05
0,1.77,363.15,21.09
0,1.39,291.57,20.55
0,1.39,295.45,20.14
0,1.39,367.84,20.04
0,1.53,454.43,17.94
0,1.86,550.21,17.53
0,1.86,561.43,17.05
0,1.76,443.44,16.93
0,1.41,327.52,19.14
0,1.43,264.08,19.67
0,1.43,217.12,20.77
0,1.43,401.7,21.05
0,1.42,604.7,21.33
0,1.42,570.66,21.41
0,1.42,554.19,21.23
0,1.42,512.52,21.19
0,1.41,477.74,22.56
0,1.4,470.47,22.9
0,1.38,399.24,23.71
0,1.38,423.97,23.92
0,1.36,434.14,23.69
0,1.73,529.45,23.65
0,1.86,543.71,22.3
0,1.86,456.4,21.96
0,1.64,340,19.81
0,1.38,306.71,19.23
0,1.37,317.06,18.74
0,1.23,405.28,17.4
0,1.4,423.94,18.36
0,1.84,538.82,18.14
0,1.87,540.07,17.96
0,1.79,459.68,18.01
0,1.39,362.48,22.15
0,1.4,384,23.04
0,1.41,397.35,22.93
0,1.41,417.38,22.89
0,1.77,522.1,22.75
0,1.86,518.11,22.61
0,1.4,429.81,25.26
0,1.39,454.26,25.75
0,1.39,460.95,25.43
0,1.38,464.24,25.34
0,1.38,459.98,25.35
0,1.39,455.25,25.35
0,1.39,448.12,24.02
0,1.68,525.63,23.29
0,1.86,558.15,21.61
0,1.85,477.82,21.25
0,1.4,358.83,20.72
0,1.31,427.28,20.51
0,1.24,476.53,17.89
0,1.24,453.93,17.23
0,1.24,424.3,15.9
0,1.25,362.06,15.58
0,1.27,323.57,16.96
0,1.29,390.76,17.3
0,1.61,531.11,18.88
0,1.66,490.81,19.15
0,1.28,383.35,20.54
0,1.29,390.94,20.69
0,1.28,391.77,22.53
0,1.28,413.13,22.98
0,1.28,438.66,24.39
0,1.27,437.67,24.73
0,1.26,433.53,24.37
0,1.25,457.76,24.29
0,1.24,467.2,23.96
0,1.24,460.82,23.89
0,1.24,453.58,22.8
0,1.37,486.07,22.41
0,1.71,555.4,20.61
0,1.71,490.82,20.22
0,1.36,372.37,19.55
0,1.24,409.13,19.34
0,1.24,464.36,18.69
0,1.51,553.77,18.22
0,1.71,597.82,16.4
0,1.66,480.66,16.01
0,1.25,335.07,16.06
0,1.27,397.33,16.05
0,1.29,448.16,18.25
0,1.29,450.83,18.78
0,1.34,503.85,20.11
0,1.45,638.59,19.08
0,1.45,618.87,19.3
0,1.34,429.47,19.53
0,1.31,369.73,21.66
0,1.31,356.65,22.17
0,1.3,345.11,23.73
0,1.29,379.43,24.1
0,1.27,394.4,23.56
0,1.26,420.91,23.43
0,1.25,438,22.68
0,1.37,500.12,22.28
0,1.71,607.78,20.97
0,1.71,515.18,20.78
0,1.51,412.01,20.41
0,1.27,407.69,20.46
0,1.28,452.46,21.56
